LGSN,OLFM3,DNAJC24,UPRT,LCORL,PPP3CA,HERPUD2,APELA,PPAT,ZFP37,ZNF354C,ZNF800,ARID2,NLK,FBXO33,POLR3F,KBTBD12,ZNF396,PRRG4,CDO1,ZNF718,SAMD13,NIP7,INSC,TMEM38B,ZFAND4,NIPSNAP3A,GPAM,GIN1,SEC24B.AS1,ZKSCAN7,FBXO7,PABPC4L,WAC.AS1,TMEM169,Label
1.041392685,0,1.698970004,2.017033339,2.315970345,2.884795364,2.600972896,1.278753601,1.414973348,0.477121255,1.431363764,2.79518459,2.737192643,2.193124598,2.589949601,1.740362689,1.176091259,1.612783857,3.085647288,0.77815125,1.832508913,0.602059991,1.954242509,0.903089987,1.851258349,1.740362689,2.025305865,1.612783857,1.748188027,0.698970004,1.113943352,2.755112266,0.301029996,2.029383778,1.079181246,acute
0,0,1.380211242,2.146128036,2.152288344,2.238046103,2.212187604,0,1.397940009,0.698970004,1.230448921,3.118264726,2.482873584,1.748188027,2.301029996,1.322219295,1.397940009,1,2.830588669,0.477121255,1.84509804,0.698970004,1.770852012,0.602059991,1.653212514,1.505149978,1.832508913,1.255272505,1.397940009,0.477121255,0.903089987,2.440909082,0.602059991,1.929418926,0.84509804,acute
0.954242509,0.698970004,1.491361694,1.602059991,2.071882007,2.354108439,2.176091259,0.602059991,1.462397998,1,1.176091259,2.44870632,2.178976947,1.959041392,2.222716471,1.431363764,0.77815125,0.954242509,2.361727836,0.602059991,1.653212514,0.698970004,1.838849091,1.146128036,1.851258349,1.785329835,1.77815125,1.672097858,1.431363764,0.602059991,1.230448921,2.610660163,0.77815125,1.826074803,1.255272505,acute
0.77815125,0.301029996,1.342422681,1.886490725,1.963787827,2.068185862,1.913813852,0,0.903089987,0.77815125,1.041392685,2.579783597,2.235528447,1.672097858,2.103803721,1.204119983,1.113943352,1.113943352,2.568201724,0.301029996,2.017033339,0,1.556302501,1.255272505,1.079181246,1.230448921,1.322219295,1.255272505,1.041392685,0.477121255,0.84509804,2.64246452,0.698970004,1.86332286,0.602059991,acute
1,0.602059991,0.954242509,1.653212514,2.025305865,2.278753601,1.995635195,0.698970004,1.113943352,0.477121255,0.602059991,2.934498451,2.396199347,1.531478917,2.06069784,1,0.84509804,0.84509804,2.588831726,0,1.748188027,0.477121255,1.342422681,0.301029996,1.113943352,1,1.255272505,1.079181246,0.84509804,0.698970004,0.602059991,2.514547753,0.301029996,1.505149978,0.477121255,acute
0.903089987,0.301029996,1.72427587,1.913813852,2.250420002,2.445604203,2.396199347,0.698970004,1.857332496,0.954242509,1.707570176,2.662757832,2.519827994,2.089905111,2.204119983,1.69019608,1.414973348,1.146128036,1.954242509,0.698970004,2.164352856,0.301029996,2.056904851,1.041392685,1.544068044,1.963787827,1.959041392,1.838849091,1.591064607,0.77815125,1.204119983,2.610660163,1.113943352,2.103803721,1.041392685,acute
1.079181246,0,2.017033339,1.995635195,2.547774705,2.859738566,3.170261715,0,1.832508913,0.903089987,1.662757832,3.046104787,2.797959644,2.472756449,3.127104798,1.84509804,0.954242509,1.929418926,2.579783597,0.477121255,2.158362492,0.477121255,2.267171728,1.397940009,2.298853076,2.214843848,2.190331698,1.903089987,1.86923172,0.954242509,1.230448921,2.892651034,0.84509804,2.318063335,1,acute
0.903089987,0,1.707570176,2.045322979,2.413299764,2.315970345,2.496929648,0.301029996,1.799340549,1.176091259,1.414973348,2.829303773,2.611723308,2.093421685,2.318063335,1.72427587,1.447158031,1.146128036,2.870403905,0.77815125,2.053078443,0.77815125,2.041392685,0.84509804,1.977723605,1.602059991,1.959041392,1.662757832,1.568201724,0.77815125,1.322219295,2.951337519,1.041392685,2.079181246,1,acute
1,0,1.113943352,1.505149978,2.146128036,3.024074987,2.720985744,0,0.77815125,0,1.041392685,2.632457292,2.491361694,1.968482949,2.421603927,1.146128036,1.041392685,1.278753601,2.709269961,0.301029996,1.681241237,0.301029996,1.544068044,0.84509804,1.544068044,1.662757832,1.491361694,0.84509804,1.681241237,0.602059991,0.954242509,2.361727836,0.602059991,1.949390007,0.903089987,acute
0.954242509,0.477121255,0.698970004,0.698970004,1.491361694,1.740362689,1.748188027,1.113943352,0.954242509,0,1.041392685,1.954242509,1.73239376,1.079181246,1.556302501,0.903089987,0.954242509,0.84509804,1.892094603,1.230448921,1.204119983,0.477121255,0.954242509,1.230448921,1.556302501,1.230448921,0.477121255,1.568201724,0.954242509,0,0.698970004,1.531478917,1,1.146128036,0.954242509,acute
0.903089987,0,1.477121255,1.477121255,2.201397124,2.740362689,2.686636269,0,1.431363764,1.079181246,1.230448921,2.352182518,2.465382851,1.929418926,2.620136055,1.380211242,0.84509804,1.740362689,2.890421019,0.301029996,1.505149978,0,1.806179974,0,2.149219113,1.959041392,1.73239376,2.017033339,1.612783857,0.954242509,1.230448921,2.222716471,0.301029996,2.079181246,1.255272505,acute
1,0,1.361727836,1.531478917,2.06069784,2.320146286,2.017033339,0.77815125,1.204119983,0.77815125,1.342422681,2.240549248,2.161368002,2.068185862,1.913813852,1.414973348,0.903089987,1.230448921,2.075546961,0.602059991,1.612783857,0.602059991,1.681241237,0.698970004,1.204119983,1.707570176,1.612783857,1.602059991,1.204119983,0.602059991,1.301029996,3.01911629,0.77815125,1.886490725,1.301029996,acute
0.903089987,0,1.643452676,1.716003344,2.130333768,2.324282455,2.542825427,0.301029996,1.69019608,1.041392685,1.716003344,2.723455672,2.57054294,1.991226076,2.230448921,1.477121255,1.041392685,1.113943352,2.509202522,0.954242509,1.73239376,0,1.934498451,0.477121255,1.792391689,1.857332496,1.812913357,1.579783597,1.591064607,0.954242509,1.230448921,2.643452676,0.903089987,1.954242509,0.903089987,acute
